0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,,,,,,,,,
PS Sudeste Industrial Região -,,,,,,,,,,,
2 Pellet Natural/Branco PS Pellet Colorido PS,"7,45 6,50",,"8,50 7,50","7,95 7,05","0,0% 0,0%","0,6% 0,7%","1,3% 1,4%","7,45 6,50",,"8,50 7,50","7,95 7,05"
PS Apara,"3,65",,"4,35","4,05","0,0%","1,3%","3,8%","3,70",,"4,40","4,10"
,,,,,,,,,,,
Pós-Consumo PS Região Sudeste -,,,,,,,,,,,
,,,,,,,,,,,
2 Pellet Natural/Branco PS Pellet Colorido PS,"6,30 5,60",,"7,25 6,45","6,70 5,95","0,0% 0,0%","0,0% 0,0%","0,8% 0,8%","6,30 5,60",,"7,25 6,45","6,70 5,95"
Sucata PS,"2,15",,"3,05","2,65","0,0%","0,0%","0,0%","2,20",,"3,10","2,70"
,,,,,,,,,,,
PS Região Sul -,,,,,,,,,,,
,,,,,,,,,,,
Pellet Natural/Branco PS,"6,30",,"8,00","7,15","0,0%","0,7%","1,4%","6,30",,"8,00","7,15"
2 Pellet Colorido PS,"5,55",,"7,00","6,35","0,0%","0,8%","1,6%","5,55",,"7,00","6,35"
(Industrial) PS Apara (Pós-Consumo) Sucata PS,"3,55 2,15",,"4,20 2,90","3,80 2,45","0,0% 0,0%","1,3% 0,0%","4,1% 0,0%","3,55 2,15",,"4,20 2,90","3,80 2,45"
