0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,,,,,,,,,
Sudeste PEBD Industrial Região -,,,,,,,,,,,
Pellet Natural PEBD,"6,40",,"7,50","6,95","0,0%","0,0%","3,7%","6,45",,"7,55","7,00"
Pellet PEBD Branco,"5,90",,"6,90","6,45","0,0%","0,0%","4,0%","5,95",,"6,95","6,50"
Pellet Colorido PEBD,"5,55",,"6,55","6,10","0,0%","0,0%","4,3%","5,60",,"6,60","6,15"
Apara PEBD,"2,75",,"3,55","3,30","3,1%","4,8%","13,8%","2,80",,"3,60","3,35"
,,,,,,,,,,,
Pós-Consumo PEBD Região Sudeste —,,,,,,,,,,,
,,,,,,,,,,,
Pellet Canela PEBD Pellet Colorido PEBD,"5,85 5,25",,"6,70 6,05","6,15 5,55","2,5% 2,8%","2,5% 2,8%","3,4% 2,8%","5,90 5,30",,"6,80 6,10","6,25 5,65"
Pellet PEBD Preto,"4,85",,"5,55","5,15","3,0%","3,0%","4,0%","4,90",,"5,60","5,25"
Geral Sucata PEBD,"1,80",,"2,60","2,20","2,3%","4,8%","4,8%","1,85",,"2,65","2,25"
,,,,,,,,,,,
Sul PEBD Industrial Região -,,,,,,,,,,,
,,,,,,,,,,,
Pellet Natural/Branco PEBD,"5,60",,"7,05","6,35","0,0%","0,0%","3,3%","5,65",,"7,10","6,40"
Pellet Colorido PEBD,"5,10",,"6,15","5,70","0,0%","0,0%","3,6%","5,15",,"6,20","5,75"
PEBD Pós-Consumo Região Sul -,,,,,,,,,,,
Pellet Canela PEBD,"5,35",,"6,35","5,70","0,0%","0,0%","1,8%","5,40",,"6,40","5,75"
Pellet Colorido/Preto PEBD,"4,35",,"5,55","4,85","0,0%","0,0%","1,0%","4,40",,"5,60","4,90"
