instance_id,c_cod_int,c_codigo,c_descricao,codigo_local_estoque,estoque_minimo,fisico,n_cmc,n_cod_prod,n_pendente,n_preco_unitario,n_saldo,reservado,_fivetran_synced,_fivetran_deleted,_fivetran_batch,_fivetran_index
hive_cwb,,PRD00019,PE PRETO / COLORIDO,3279359419,0E-9,-17795.000000000,1.724247000,3395614249,0E-9,0E-9,-17795.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,PRD00010,PE CANELA,3279359419,0E-9,-10578.000000000,1.692822000,3395601729,0E-9,1.800000000,-10578.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,PRD00011,BORRA INDUSTRIAL,3279359419,0E-9,8800.000000000,0.400000000,3379924623,0E-9,0.400000000,8800.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,000001,SUCATA DE FILME COLORIDO,3279359419,0E-9,14680.000000000,1.208076000,3281136366,0E-9,0E-9,14680.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,PRD00003,SUCATA DE PP BALDE BACIA COLORIDO,3279359419,0E-9,-2450.000000000,2.200000000,3281136438,0E-9,0E-9,-2450.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,PRD00004,SUCATA DE PEAD CRISTAL,3279359419,0E-9,9324.000000000,1.750622000,3281136397,0E-9,0E-9,9324.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,PRD00022,PP RAFIA,3279359419,0E-9,7824.000000000,0.559036000,3395601721,0E-9,0.350000000,7824.000000000,0E-9,2026-02-26 00:50:40.525000+00:00,False,,
hive_cwb,,000002,SUCATA DE FILME CANELA,3279359419,0E-9,5183.000000000,1.633500000,3281136361,5183.000000000,0E-9,5183.000000000,0E-9,2026-02-26 19:18:10.097000+00:00,False,,
hive_cwb,,000025,SUCATA DE FILME PRETO,3279359419,0E-9,6500.000000000,0.400000000,3281136371,6500.000000000,0E-9,6500.000000000,0E-9,2026-02-26 19:18:10.097000+00:00,False,,
hive_cwb,,000028,SUCATA DE PEAD COLORIDO,3279359419,0E-9,838.000000000,2.178007000,3281136402,0E-9,0E-9,838.000000000,0E-9,2026-03-06 13:02:05.090000+00:00,False,,
hive_cwb,,PRD00023,PP PRETO OU MISTO,3279359419,0E-9,1449.000000000,1.724244000,3414613925,0E-9,0E-9,1449.000000000,0E-9,2026-03-12 15:01:25.008000+00:00,False,,
hive_poa,0009,000020,SUCATA DE BOPP,3798364267,0E-9,2304.000000000,0.402867000,3801970031,0E-9,0.300000000,2304.000000000,0E-9,2026-02-25 19:34:56.153000+00:00,False,,
hive_poa,0010,000002,SUCATA DE FILME CANELA,3798364267,0E-9,6708.800000000,1.512333000,3801970038,0E-9,1.450000000,6708.800000000,0E-9,2026-02-25 19:34:56.153000+00:00,False,,
hive_poa,0006,000026,PET AZEITE,3798364267,0E-9,-184.000000000,1.460178000,3801970001,0E-9,0E-9,-184.000000000,0E-9,2026-02-25 19:34:56.153000+00:00,False,,
hive_poa,0013,000023,SUCATA DE LATINHAS,3798364267,0E-9,236.000000000,9.528753000,3801970076,0E-9,10.500000000,236.000000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,0020,000019,SUCATA DE PET BANDEJA,3798364267,0E-9,3712.800000000,0.865415000,3801970145,0E-9,1.000000000,3712.800000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,0016,000028,SUCATA DE PEAD COLORIDO,3798364267,0E-9,448.000000000,2.295643000,3801970107,0E-9,1.700000000,448.000000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,,PRD00007,Sucata de Rafia,3798364267,0E-9,97.500000000,0.598850000,3831142916,0E-9,1.200000000,97.500000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,0011,000001,SUCATA DE FILME COLORIDO,3798364267,0E-9,3130.500000000,0.586233000,3801970048,0E-9,0.600000000,3130.500000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,0019,000008,SUCATA DE PET AMBAR,3798364267,0E-9,349.200000000,0.857916000,3801970135,0E-9,0.450000000,349.200000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,0012,000025,SUCATA DE FILME PRETO,3798364267,0E-9,1241.200000000,0.390080000,3801970058,0E-9,0.400000000,1241.200000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
hive_poa,,PRD00005,SUCATA DE PP MARGARINA,3798364267,0E-9,877.000000000,1.436992000,3828809750,0E-9,2.300000000,877.000000000,0E-9,2026-02-25 19:34:56.154000+00:00,False,,
